# conda environments:
#
base                     /home/zwa281/miniconda
env                      /home/zwa281/miniconda/envs/env
myenv                 *  /home/zwa281/miniconda/envs/myenv

True
8
0
EPOCH 239: test_acc=0.7371, disc_loss=0.5805, cls_loss=0.0014, disc_acc=0.7119
EPOCH 240: test_acc=0.7371, disc_loss=0.5947, cls_loss=0.0042, disc_acc=0.5254
EPOCH 241: test_acc=0.7421, disc_loss=0.5814, cls_loss=0.0032, disc_acc=0.7458
EPOCH 242: test_acc=0.7346, disc_loss=0.5861, cls_loss=0.0052, disc_acc=0.6441
EPOCH 243: test_acc=0.7308, disc_loss=0.5928, cls_loss=0.0020, disc_acc=0.6441
EPOCH 244: test_acc=0.7346, disc_loss=0.5817, cls_loss=0.0019, disc_acc=0.6441
EPOCH 245: test_acc=0.7308, disc_loss=0.5811, cls_loss=0.0023, disc_acc=0.7119
EPOCH 246: test_acc=0.7371, disc_loss=0.5840, cls_loss=0.0016, disc_acc=0.6780
EPOCH 247: test_acc=0.7333, disc_loss=0.5781, cls_loss=0.0047, disc_acc=0.6271
EPOCH 248: test_acc=0.7270, disc_loss=0.5805, cls_loss=0.0023, disc_acc=0.7288
EPOCH 249: test_acc=0.7258, disc_loss=0.5829, cls_loss=0.0020, disc_acc=0.7458
EPOCH 250: test_acc=0.7308, disc_loss=0.5810, cls_loss=0.0024, disc_acc=0.7119
EPOCH 251: test_acc=0.7346, disc_loss=0.5905, cls_loss=0.0029, disc_acc=0.6271
EPOCH 252: test_acc=0.7270, disc_loss=0.5911, cls_loss=0.0018, disc_acc=0.6271
EPOCH 253: test_acc=0.7346, disc_loss=0.5831, cls_loss=0.0037, disc_acc=0.7119
EPOCH 254: test_acc=0.7321, disc_loss=0.6016, cls_loss=0.0015, disc_acc=0.6610
EPOCH 255: test_acc=0.7321, disc_loss=0.5990, cls_loss=0.0037, disc_acc=0.6610
EPOCH 256: test_acc=0.7421, disc_loss=0.5895, cls_loss=0.0073, disc_acc=0.7288
EPOCH 257: test_acc=0.7371, disc_loss=0.5797, cls_loss=0.0021, disc_acc=0.6271
EPOCH 258: test_acc=0.7358, disc_loss=0.6021, cls_loss=0.0022, disc_acc=0.6441
EPOCH 259: test_acc=0.7421, disc_loss=0.5925, cls_loss=0.0019, disc_acc=0.8305
EPOCH 260: test_acc=0.7358, disc_loss=0.5905, cls_loss=0.0039, disc_acc=0.7627
EPOCH 261: test_acc=0.7409, disc_loss=0.5837, cls_loss=0.0016, disc_acc=0.6441
EPOCH 262: test_acc=0.7434, disc_loss=0.5890, cls_loss=0.0016, disc_acc=0.7458
EPOCH 263: test_acc=0.7384, disc_loss=0.5891, cls_loss=0.0022, disc_acc=0.7458
EPOCH 264: test_acc=0.7421, disc_loss=0.5806, cls_loss=0.0020, disc_acc=0.6610
EPOCH 265: test_acc=0.7434, disc_loss=0.5857, cls_loss=0.0013, disc_acc=0.6949
EPOCH 266: test_acc=0.7459, disc_loss=0.5996, cls_loss=0.0010, disc_acc=0.6441
EPOCH 267: test_acc=0.7447, disc_loss=0.5962, cls_loss=0.0017, disc_acc=0.6441
EPOCH 268: test_acc=0.7409, disc_loss=0.5764, cls_loss=0.0033, disc_acc=0.6102
